name,version,file,integrity,url
"@esbuild/linux-arm","0.18.20","tarballs/esbuild__linux-arm-0.18.20.tgz","sha512-/5bHkMWnq1EgKr1V+Ybz3s1hWXok7mDFUMQ4cG10AfW3wL02PSZi5kFpYKrptDsgb2WAJIvRcDm+qIvXf/apvg==","https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.18.20.tgz"
"@esbuild/linux-arm","0.25.12","tarballs/esbuild__linux-arm-0.25.12.tgz","sha512-lPDGyC1JPDou8kGcywY0YILzWlhhnRjdof3UlcoqYmS9El818LLfJJc3PXXgZHrHCAKs/Z2SeZtDJr5MrkxtOw==","https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.25.12.tgz"
"@esbuild/linux-arm","0.27.3","tarballs/esbuild__linux-arm-0.27.3.tgz","sha512-s6nPv2QkSupJwLYyfS+gwdirm0ukyTFNl3KTgZEAiJDd+iHZcbTPPcWCcRYH+WlNbwChgH2QkE9NSlNrMT8Gfw==","https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.27.3.tgz"
"@esbuild/linux-arm","0.28.0","tarballs/esbuild__linux-arm-0.28.0.tgz","sha512-CjaaREJagqJp7iTaNQjjidaNbCKYcd4IDkzbwwxtSvjI7NZm79qiHc8HqciMddQ6CKvJT6aBd8lO9kN/ZudLlw==","https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.28.0.tgz"
"@esbuild/linux-arm64","0.18.20","tarballs/esbuild__linux-arm64-0.18.20.tgz","sha512-2YbscF+UL7SQAVIpnWvYwM+3LskyDmPhe31pE7/aoTMFKKzIc9lLbyGUpmmb8a8AixOL61sQ/mFh3jEjHYFvdA==","https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.18.20.tgz"
"@esbuild/linux-arm64","0.25.12","tarballs/esbuild__linux-arm64-0.25.12.tgz","sha512-8bwX7a8FghIgrupcxb4aUmYDLp8pX06rGh5HqDT7bB+8Rdells6mHvrFHHW2JAOPZUbnjUpKTLg6ECyzvas2AQ==","https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.25.12.tgz"
"@esbuild/linux-arm64","0.27.3","tarballs/esbuild__linux-arm64-0.27.3.tgz","sha512-sZOuFz/xWnZ4KH3YfFrKCf1WyPZHakVzTiqji3WDc0BCl2kBwiJLCXpzLzUBLgmp4veFZdvN5ChW4Eq/8Fc2Fg==","https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.27.3.tgz"
"@esbuild/linux-arm64","0.28.0","tarballs/esbuild__linux-arm64-0.28.0.tgz","sha512-RVyzfb3FWsGA55n6WY0MEIEPURL1FcbhFE6BffZEMEekfCzCIMtB5yyDcFnVbTnwk+CLAgTujmV/Lgvih56W+A==","https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.28.0.tgz"
"@esbuild/linux-ia32","0.18.20","tarballs/esbuild__linux-ia32-0.18.20.tgz","sha512-P4etWwq6IsReT0E1KHU40bOnzMHoH73aXp96Fs8TIT6z9Hu8G6+0SHSw9i2isWrD2nbx2qo5yUqACgdfVGx7TA==","https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.18.20.tgz"
"@esbuild/linux-ia32","0.25.12","tarballs/esbuild__linux-ia32-0.25.12.tgz","sha512-0y9KrdVnbMM2/vG8KfU0byhUN+EFCny9+8g202gYqSSVMonbsCfLjUO+rCci7pM0WBEtz+oK/PIwHkzxkyharA==","https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.25.12.tgz"
"@esbuild/linux-ia32","0.27.3","tarballs/esbuild__linux-ia32-0.27.3.tgz","sha512-yGlQYjdxtLdh0a3jHjuwOrxQjOZYD/C9PfdbgJJF3TIZWnm/tMd/RcNiLngiu4iwcBAOezdnSLAwQDPqTmtTYg==","https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.27.3.tgz"
